# PeTrack project: 010_c_12_h0.pet
# raw trajectory file: 010_c_12_h0.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
id frame x/m y/m z/m
5 74 0.147111 1.47336 1.76
5 75 0.138363 1.45326 1.76
5 76 0.136042 1.43629 1.76
5 77 0.137537 1.41569 1.76
5 78 0.133448 1.40247 1.76
5 79 0.141475 1.39043 1.76
5 80 0.147838 1.37671 1.76
5 81 0.150213 1.35795 1.76
5 82 0.14846 1.3331 1.76
5 83 0.148052 1.31019 1.76
5 84 0.147683 1.28944 1.76
5 85 0.145343 1.27084 1.76
5 86 0.148122 1.24649 1.76
5 87 0.144936 1.2348 1.76
5 88 0.138575 1.22767 1.76
5 89 0.134364 1.21541 1.76
5 90 0.134295 1.21132 1.76
5 91 0.130229 1.20726 1.76
5 92 0.134134 1.20293 1.76
5 93 0.130094 1.19909 1.76
5 94 0.132023 1.19499 1.76
5 95 0.129892 1.18685 1.76
5 96 0.129691 1.17463 1.76
5 97 0.129489 1.16245 1.76
5 98 0.129322 1.15231 1.76
5 99 0.134116 1.13782 1.76
5 100 0.132825 1.12397 1.76
5 101 0.136622 1.11386 1.76
5 102 0.144413 1.10575 1.76
5 103 0.144126 1.08969 1.76
5 104 0.143876 1.07566 1.76
5 105 0.145674 1.06565 1.76
5 106 0.143583 1.05301 1.76
5 107 0.145279 1.04372 1.76
5 108 0.14123 1.03778 1.76
5 109 0.139155 1.03183 1.76
5 110 0.133076 1.02196 1.76
5 111 0.13094 1.01206 1.76
5 112 0.121258 0.997106 1.76
5 113 0.108828 0.980633 1.76
5 114 0.098795 0.964971 1.76
5 115 0.0849253 0.953302 1.76
5 116 0.0710821 0.941653 1.76
5 117 0.0553534 0.933951 1.76
5 118 0.0434943 0.920374 1.76
5 119 0.0297449 0.910735 1.76
5 120 0.0159745 0.895283 1.76
5 121 0.000293601 0.879884 1.76
5 122 -0.015347 0.864526 1.76
5 123 -0.0309611 0.845352 1.76
5 124 -0.0469745 0.829969 1.76
5 125 -0.0639684 0.814863 1.76
5 126 -0.0775094 0.799654 1.76
5 127 -0.0871569 0.786362 1.76
5 128 -0.0948545 0.773086 1.76
5 129 -0.10253 0.75794 1.76
5 130 -0.115978 0.748558 1.76
5 131 -0.125541 0.735381 1.76
5 132 -0.131261 0.725978 1.76
5 133 -0.133142 0.718446 1.76
5 134 -0.133113 0.712793 1.76
5 135 -0.133103 0.71091 1.76
5 136 -0.125411 0.707089 1.76
5 137 -0.125403 0.705208 1.76
5 138 -0.125368 0.697689 1.76
5 139 -0.131079 0.690222 1.76
5 140 -0.138687 0.680905 1.76
5 141 -0.148194 0.671616 1.76
5 142 -0.155789 0.664196 1.76
5 143 -0.167163 0.653083 1.76
5 144 -0.176643 0.6457 1.76
5 145 -0.186128 0.640187 1.76
5 146 -0.197491 0.632834 1.76
5 147 -0.210721 0.623649 1.76
5 148 -0.225835 0.614492 1.76
5 149 -0.244672 0.601679 1.76
5 150 -0.268424 0.593394 1.76
5 151 -0.287982 0.579861 1.76
5 152 -0.306733 0.568961 1.76
5 153 -0.323434 0.552569 1.76
5 154 -0.336264 0.534369 1.76
5 155 -0.350258 0.51791 1.76
5 156 -0.350588 0.501691 1.76
5 157 -0.362713 0.489442 1.76
5 158 -0.365409 0.477153 1.76
5 159 -0.366768 0.463689 1.76
5 160 -0.360522 0.447541 1.76
5 161 -0.358283 0.433153 1.76
5 162 -0.352595 0.420961 1.76
5 163 -0.343479 0.409414 1.76
5 164 -0.332293 0.399517 1.76
5 165 -0.319597 0.389091 1.76
5 166 -0.307565 0.377979 1.76
5 167 -0.295415 0.365363 1.76
5 168 -0.278198 0.355961 1.76
5 169 -0.266789 0.341739 1.76
5 170 -0.25918 0.331102 1.76
