,t,NT,motivation,num
632,25.28,33.0,high,0.0
633,25.32,33.0,high,0.0
634,25.36,33.0,high,0.0
635,25.4,33.0,high,0.0
636,25.44,33.0,high,0.0
637,25.48,33.0,high,0.0
638,25.52,33.0,high,0.0
639,25.56,33.0,high,0.0
640,25.6,33.0,high,0.0
641,25.64,33.0,high,0.0
642,25.68,33.0,high,0.0
643,25.72,33.0,high,0.0
644,25.76,33.0,high,0.0
645,25.8,33.0,high,0.0
646,25.84,33.0,high,0.0
647,25.88,33.0,high,0.0
648,25.92,33.0,high,0.0
649,25.96,33.0,high,0.0
650,26.0,33.0,high,0.0
651,26.04,33.0,high,0.0
652,26.08,33.0,high,0.0
653,26.12,33.0,high,0.0
654,26.16,33.0,high,0.0
655,26.2,33.0,high,0.0
656,26.24,33.0,high,0.0
657,26.28,33.0,high,0.0
658,26.32,33.0,high,0.0
659,26.36,33.0,high,0.0
660,26.4,33.0,high,0.0
661,26.44,33.0,high,0.0
662,26.48,34.0,high,0.0
663,26.52,34.0,high,0.0
664,26.56,34.0,high,0.0
665,26.6,34.0,high,0.0
666,26.64,34.0,high,0.0
667,26.68,34.0,high,0.0
668,26.72,34.0,high,0.0
669,26.76,34.0,high,0.0
670,26.8,34.0,high,0.0
671,26.84,34.0,high,0.0
672,26.88,34.0,high,0.0
673,26.92,34.0,high,0.0
674,26.96,34.0,high,0.0
675,27.0,34.0,high,0.0
676,27.04,34.0,high,0.0
677,27.08,34.0,high,0.0
678,27.12,34.0,high,0.0
679,27.16,34.0,high,0.0
680,27.2,35.0,high,0.0
681,27.24,35.0,high,0.0
682,27.28,35.0,high,0.0
683,27.32,35.0,high,0.0
684,27.36,35.0,high,0.0
685,27.4,35.0,high,0.0
686,27.44,35.0,high,0.0
687,27.48,35.0,high,0.0
688,27.52,35.0,high,0.0
689,27.56,35.0,high,0.0
690,27.6,35.0,high,0.0
691,27.64,35.0,high,0.0
692,27.68,35.0,high,0.0
693,27.72,35.0,high,0.0
694,27.76,35.0,high,0.0
695,27.8,35.0,high,0.0
696,27.84,35.0,high,0.0
697,27.88,35.0,high,0.0
698,27.92,35.0,high,0.0
